aX,aY,aZ,gX,gY,gZ
0.483,-0.649,-1.571,176.208,40.771,-77.393
0.378,-0.699,-1.678,180.542,17.761,-83.801
0.327,-0.757,-1.749,181.519,-10.742,-87.280
0.276,-0.807,-1.794,180.298,-44.373,-87.341
0.186,-0.757,-1.754,174.255,-83.435,-83.313
0.115,-0.695,-1.680,171.204,-123.718,-81.421
0.084,-0.632,-1.559,169.800,-164.856,-79.895
0.078,-0.607,-1.388,172.119,-208.130,-79.407
0.137,-0.617,-1.136,172.058,-251.953,-77.759
0.325,-0.649,-0.785,167.236,-298.279,-72.510
0.497,-0.624,-0.414,155.884,-346.252,-64.880
0.505,-0.604,0.045,142.822,-393.188,-60.364
0.553,-0.614,0.616,130.981,-434.570,-55.969
1.076,1.823,4.000,101.624,-460.022,-37.415
2.622,-2.067,4.000,576.660,-390.442,-198.486
0.772,-4.000,2.558,561.890,-98.938,-105.896
-0.609,0.004,0.946,-57.190,94.360,407.715
1.311,2.228,-0.076,-265.320,54.932,58.228
1.353,1.876,1.643,-162.659,23.376,-74.890
0.493,-0.465,2.083,-17.151,63.354,17.944
0.830,-1.346,1.602,23.743,111.572,13.184
1.096,-0.477,1.058,-43.152,123.718,50.781
0.931,0.465,0.814,-98.022,112.671,39.856
0.658,0.416,0.779,-76.172,99.609,13.672
0.619,0.021,0.630,-40.833,102.600,-3.540
0.620,-0.147,0.440,-36.682,115.295,-13.672
0.600,-0.130,0.242,-47.302,129.456,-20.752
0.745,-0.247,0.036,-58.044,139.648,-32.654
0.865,-0.378,-0.167,-71.228,141.846,-37.476
0.773,-0.388,-0.395,-89.905,138.916,-30.029
0.626,-0.253,-0.612,-106.689,135.620,-23.254
0.480,-0.219,-0.743,-109.985,135.254,-21.362
0.364,-0.263,-0.836,-102.600,140.625,-16.357
0.365,-0.309,-0.953,-97.900,148.865,-2.380
0.385,-0.344,-1.025,-98.328,154.602,13.306
0.405,-0.415,-1.119,-102.112,153.015,21.973
0.416,-0.446,-1.257,-110.596,145.447,24.902
0.398,-0.393,-1.385,-122.375,132.446,27.161
0.350,-0.296,-1.463,-126.892,116.028,24.963
0.351,-0.266,-1.495,-117.249,97.900,18.921
0.397,-0.283,-1.468,-96.375,79.102,12.085
0.453,-0.326,-1.396,-74.219,60.974,6.226
0.522,-0.368,-1.300,-55.908,43.457,2.930
0.582,-0.382,-1.172,-42.847,26.306,0.916
0.637,-0.392,-1.048,-32.959,11.108,-0.793
0.675,-0.429,-0.918,-23.926,0.366,0.000
0.727,-0.467,-0.805,-17.761,-5.310,3.113
0.774,-0.470,-0.699,-16.296,-8.240,7.385
0.815,-0.461,-0.620,-17.151,-8.667,11.475
0.852,-0.443,-0.559,-18.372,-8.484,14.526
0.894,-0.442,-0.495,-19.165,-9.094,17.212
0.928,-0.444,-0.427,-18.982,-9.338,17.761
0.950,-0.437,-0.393,-18.005,-8.057,17.151
0.968,-0.437,-0.395,-17.334,-6.409,15.686
0.983,-0.437,-0.386,-17.273,-5.859,14.832
0.992,-0.429,-0.366,-17.029,-6.653,14.954
0.988,-0.414,-0.349,-16.724,-8.057,16.235
0.979,-0.400,-0.349,-16.174,-9.033,18.494
0.972,-0.370,-0.352,-16.296,-9.827,21.179
0.976,-0.353,-0.339,-16.541,-10.254,23.010
0.983,-0.332,-0.325,-16.357,-10.071,24.048
0.991,-0.304,-0.323,-15.686,-9.827,24.658
0.996,-0.281,-0.319,-14.771,-10.315,24.719
0.994,-0.271,-0.310,-12.634,-11.414,24.109
0.996,-0.278,-0.288,-10.071,-12.634,23.682
0.984,-0.285,-0.257,-8.972,-13.611,24.109
0.963,-0.286,-0.232,-10.254,-13.855,24.780
0.952,-0.265,-0.215,-12.878,-13.184,24.902
0.943,-0.243,-0.204,-14.709,-11.963,24.414
0.946,-0.229,-0.196,-13.916,-10.498,22.339
0.937,-0.226,-0.189,-11.108,-9.277,20.081
0.916,-0.222,-0.191,-8.301,-7.751,18.188
0.898,-0.223,-0.196,-6.409,-5.493,16.846
0.889,-0.224,-0.206,-4.883,-2.991,16.174
0.895,-0.214,-0.223,-3.540,-0.427,15.320
0.904,-0.213,-0.245,-2.319,1.038,13.977
0.887,-0.204,-0.262,-1.526,0.916,13.123
0.905,-0.202,-0.267,-1.160,0.305,12.756
0.903,-0.186,-0.272,-0.305,-0.916,10.437
0.900,-0.189,-0.282,1.709,-1.282,9.338
0.901,-0.196,-0.283,3.296,-1.953,8.057
0.904,-0.196,-0.274,4.456,-2.502,6.165
0.898,-0.195,-0.279,4.700,-2.380,4.578
0.904,-0.192,-0.289,4.761,-2.441,3.479
0.901,-0.194,-0.282,5.127,-3.174,2.258
0.901,-0.211,-0.271,5.127,-3.540,1.526
0.903,-0.220,-0.282,4.639,-3.540,1.770
0.900,-0.217,-0.286,3.479,-3.540,1.831
0.895,-0.210,-0.297,2.136,-3.479,2.319
0.896,-0.200,-0.311,1.099,-2.747,2.930
0.897,-0.196,-0.306,0.916,-1.648,3.235
0.898,-0.182,-0.331,0.977,-0.488,3.967
0.892,-0.160,-0.345,0.488,-0.061,4.578
0.895,-0.130,-0.337,1.709,0.488,4.456
0.897,-0.132,-0.343,5.127,1.404,4.089
0.902,-0.153,-0.327,8.911,2.319,3.601
0.913,-0.157,-0.322,10.986,2.930,3.052
0.922,-0.161,-0.309,11.536,3.357,2.625
0.934,-0.157,-0.298,11.047,3.235,1.465
0.948,-0.163,-0.295,10.071,2.197,-0.488
0.952,-0.171,-0.291,9.338,0.610,-2.869
0.944,-0.168,-0.277,9.155,-1.526,-6.714
0.941,-0.176,-0.260,9.888,-3.296,-10.986
0.931,-0.184,-0.238,12.085,-5.188,-16.846
0.916,-0.204,-0.214,14.648,-6.226,-20.691
0.906,-0.229,-0.194,16.724,-5.920,-21.545
0.885,-0.257,-0.170,17.456,-4.395,-20.325
0.880,-0.304,-0.159,15.869,-1.465,-16.663
0.892,-0.325,-0.167,10.681,1.160,-14.526
0.899,-0.317,-0.182,3.479,3.479,-11.353
0.911,-0.294,-0.202,-3.479,5.310,-8.057
0.919,-0.263,-0.232,-8.972,6.470,-6.226
0.923,-0.231,-0.266,-11.536,6.714,-5.920
0.930,-0.212,-0.286,-10.437,5.859,-7.568
0.937,-0.212,-0.303,-6.409,3.967,-10.559
0.936,-0.220,-0.305,-1.526,1.465,-13.733
0.933,-0.237,-0.296,3.235,-0.610,-15.869
0.929,-0.256,-0.283,6.165,-1.953,-15.625
0.935,-0.266,-0.283,6.897,-2.747,-13.977

0.055,-0.724,-2.164,59.021,27.039,-45.410
-0.204,-0.996,-2.701,59.570,19.958,-54.199
-0.414,-1.261,-3.234,55.481,-0.732,-58.105
-0.615,-1.240,-3.624,56.946,-41.870,-57.922
-0.619,-1.194,-3.738,95.947,-95.825,-66.467
-0.455,-1.004,-3.502,163.147,-148.315,-78.613
-0.235,-0.997,-2.907,228.760,-208.496,-84.534
0.141,-1.114,-2.059,269.897,-291.016,-77.698
0.303,-0.958,-1.001,280.029,-379.395,-68.298
0.306,-0.831,0.336,275.574,-454.102,-67.688
0.209,-0.918,1.871,263.611,-508.606,-55.176
-0.656,-1.198,3.986,251.038,-505.127,-15.808
0.287,4.000,4.000,499.512,-366.638,-46.814
2.310,-4.000,3.780,1134.033,77.759,-318.054
-0.226,-3.062,-1.055,74.646,442.200,545.166
3.363,2.263,0.228,-490.356,156.189,247.986
1.474,1.627,2.267,-411.011,3.906,11.780
-0.865,-0.788,3.290,-148.621,62.744,65.308
0.448,0.318,1.972,-110.107,166.199,116.333
1.381,0.666,1.001,-92.834,207.397,93.689
0.825,0.472,0.659,-49.622,188.965,35.461
0.373,0.333,0.421,-58.472,177.551,-12.451
0.385,-0.061,-0.190,-89.722,197.998,-45.105
0.620,-0.338,-0.751,-114.807,209.961,-57.617
0.492,-0.496,-1.010,-107.788,197.693,-59.937
0.127,-0.734,-1.185,-85.815,184.509,-60.425
0.069,-0.880,-1.407,-75.623,178.101,-52.673
0.156,-1.112,-1.659,-93.384,166.565,-13.855
0.300,-0.935,-1.770,-129.883,142.944,20.691
0.163,-0.718,-1.766,-157.593,113.525,54.688
0.106,-0.473,-1.729,-154.114,85.510,50.537
0.113,-0.348,-1.655,-121.948,64.514,31.372
0.190,-0.391,-1.554,-78.125,49.988,16.602
0.319,-0.448,-1.426,-43.152,39.673,13.977
0.438,-0.493,-1.315,-25.269,27.283,17.456
0.522,-0.423,-1.219,-20.020,12.756,19.104
0.552,-0.307,-1.133,-18.250,-1.221,20.142
0.653,-0.244,-1.033,-12.634,-13.062,20.996
0.715,-0.237,-0.909,-4.150,-22.766,22.705
0.708,-0.249,-0.775,2.075,-28.503,25.146
0.674,-0.271,-0.655,1.526,-30.823,29.602
0.695,-0.267,-0.557,-5.798,-30.334,33.325
0.724,-0.227,-0.498,-15.991,-27.283,33.569
0.725,-0.177,-0.462,-24.780,-23.071,31.311
0.759,-0.129,-0.444,-30.212,-17.639,28.870
0.772,-0.077,-0.449,-30.823,-11.597,24.109
0.811,-0.057,-0.454,-28.198,-4.333,21.606
0.817,-0.036,-0.469,-24.719,1.221,17.639
0.845,-0.054,-0.474,-20.142,5.615,12.451
0.864,-0.097,-0.487,-16.174,8.301,7.935
0.852,-0.115,-0.492,-15.442,9.277,3.540
0.843,-0.124,-0.489,-14.954,9.399,-0.366
0.835,-0.154,-0.488,-13.367,9.155,-3.113
0.822,-0.184,-0.482,-11.597,8.850,-5.554
0.819,-0.228,-0.473,-10.193,9.521,-6.470
0.822,-0.274,-0.470,-9.277,10.742,-5.371
0.833,-0.292,-0.473,-9.644,11.963,-2.747
0.846,-0.285,-0.493,-11.169,12.573,0.488
0.853,-0.265,-0.506,-12.268,11.780,4.272
0.868,-0.249,-0.513,-12.085,10.132,7.385
0.883,-0.243,-0.510,-11.108,8.362,9.888
0.891,-0.235,-0.521,-10.498,5.798,11.719
0.881,-0.206,-0.523,-11.353,2.441,12.573
0.869,-0.188,-0.507,-11.108,-0.549,11.780
0.867,-0.189,-0.498,-9.094,-2.502,10.132
