aX,aY,aZ,gX,gY,gZ
-0.022,-0.602,-2.153,35.828,-51.880,-3.906
0.024,-0.634,-2.177,29.358,-82.520,4.883
0.033,-0.573,-2.169,17.273,-116.699,17.029
-0.007,-0.435,-2.163,5.676,-150.391,27.222
-0.032,-0.331,-2.104,0.000,-180.176,32.227
-0.018,-0.268,-2.024,-1.404,-205.872,32.898
-0.054,-0.192,-1.945,-1.953,-226.318,31.250
-0.137,-0.143,-1.880,-1.282,-240.051,27.039
-0.162,-0.146,-1.786,1.099,-246.826,20.874
-0.123,-0.230,-1.664,1.892,-251.465,15.076
-0.104,-0.273,-1.559,-2.075,-257.690,9.033
-0.138,-0.343,-1.459,-9.521,-265.503,5.005
-0.141,-0.412,-1.328,-18.250,-273.437,3.235
-0.127,-0.487,-1.177,-28.137,-282.288,5.432
-0.083,-0.475,-1.021,-38.757,-293.274,7.629
-0.068,-0.414,-0.882,-45.410,-307.434,15.991
-0.053,-0.351,-0.750,-43.091,-323.792,20.325
-0.088,-0.285,-0.618,-34.546,-338.074,23.560
-0.147,-0.271,-0.504,-18.921,-344.604,29.907
-0.165,-0.278,-0.351,-1.404,-343.445,38.757
-0.133,-0.290,-0.152,15.381,-338.745,47.363
-0.076,-0.294,0.034,27.527,-329.956,56.885
0.018,-0.275,0.200,33.203,-318.481,67.932
0.090,-0.185,0.305,34.485,-308.533,78.796
0.088,-0.010,0.417,36.194,-301.147,84.656
0.083,0.079,0.551,43.030,-292.786,83.496
0.066,0.087,0.684,50.354,-280.090,77.209
0.132,0.099,0.758,51.697,-266.418,55.603
0.338,0.266,0.875,53.772,-245.605,45.166
0.403,0.241,0.972,57.434,-228.455,48.767
0.410,0.191,1.049,62.805,-211.792,48.584
0.457,0.176,1.138,63.232,-194.336,43.213
0.535,0.133,1.239,58.838,-176.575,37.231
0.605,0.027,1.326,50.415,-159.363,30.945
0.703,0.029,1.395,38.757,-142.395,25.330
0.682,-0.013,1.444,25.696,-126.404,21.606
0.706,-0.014,1.474,12.634,-109.680,13.428
0.756,-0.008,1.465,0.732,-91.614,11.902
0.744,-0.010,1.440,-9.033,-70.190,13.855
0.723,-0.017,1.384,-17.029,-45.105,17.456
0.717,-0.000,1.322,-22.827,-17.578,18.616
0.704,0.073,1.245,-26.550,10.376,14.954
0.701,0.147,1.156,-24.780,39.429,9.460
0.711,0.196,1.073,-17.578,67.932,4.456
0.723,0.207,1.001,-7.629,93.567,0.793
0.734,0.169,0.937,1.526,115.662,-1.160
0.741,0.119,0.866,7.019,133.850,-1.587
0.728,0.068,0.796,8.301,148.987,-2.136
0.701,0.028,0.734,4.822,161.316,-2.686
0.663,0.007,0.673,-1.465,171.936,-4.028
0.654,0.012,0.606,-7.996,181.274,-6.897
0.638,0.008,0.542,-13.489,189.392,-9.766
0.617,0.008,0.490,-17.212,195.679,-11.780
0.608,-0.005,0.433,-18.921,200.012,-13.916
0.588,0.003,0.373,-17.700,203.003,-16.602
0.548,0.007,0.303,-14.648,205.627,-20.142
0.520,-0.001,0.228,-10.498,208.740,-22.705
0.479,-0.007,0.169,-5.920,212.952,-23.865
0.438,-0.036,0.112,-1.648,220.520,-24.780
0.346,-0.075,0.033,-0.671,233.032,-21.606
0.353,-0.061,-0.039,-3.296,247.803,-18.738
0.307,0.002,-0.162,-5.920,263.733,-13.306
0.217,0.021,-0.271,-2.441,282.776,-9.766
0.135,-0.070,-0.364,3.479,302.185,-15.808
0.239,-0.024,-0.464,9.216,319.641,-11.230
0.142,-0.119,-0.620,15.198,335.876,-13.062
0.072,-0.122,-0.753,21.545,353.516,-20.325
0.033,-0.211,-0.854,21.240,365.479,-13.672
0.103,-0.289,-0.946,12.878,369.019,-4.089
0.175,-0.255,-1.047,0.000,360.901,1.892
0.153,-0.233,-1.087,-13.428,339.233,10.498
0.114,-0.211,-1.107,-25.513,313.904,19.775
0.067,-0.089,-1.175,-37.109,287.598,24.597
0.019,0.027,-1.239,-40.466,264.771,21.545
0.022,0.061,-1.247,-34.668,246.033,16.052
-0.014,-0.016,-1.281,-27.954,228.271,12.146
-0.058,-0.104,-1.335,-25.146,214.844,5.920
-0.066,-0.158,-1.350,-25.024,207.397,-1.648
-0.096,-0.152,-1.409,-28.870,199.524,-7.019
-0.183,-0.099,-1.521,-28.015,193.054,-13.428
-0.187,-0.151,-1.573,-18.982,189.392,-18.799
-0.163,-0.248,-1.623,-8.911,183.960,-19.165
-0.169,-0.251,-1.678,-2.319,174.072,-16.785
-0.140,-0.244,-1.712,3.479,160.339,-11.902
-0.099,-0.257,-1.713,7.935,141.907,-3.723
-0.113,-0.267,-1.707,8.057,120.361,5.554
-0.168,-0.240,-1.708,4.150,98.633,11.719
-0.191,-0.174,-1.700,0.366,80.078,12.268
-0.173,-0.128,-1.669,-0.977,64.270,9.644
-0.134,-0.112,-1.621,-0.183,49.622,5.676
-0.112,-0.099,-1.564,0.854,35.950,0.977
-0.064,-0.109,-1.488,1.709,23.071,-1.892
-0.022,-0.143,-1.410,0.183,10.620,-3.296
0.003,-0.155,-1.333,-2.686,0.000,-5.005
0.021,-0.144,-1.271,-6.104,-7.996,-7.202
0.030,-0.139,-1.208,-8.179,-13.794,-9.583
0.042,-0.146,-1.151,-8.240,-17.212,-11.658
0.052,-0.154,-1.098,-8.118,-18.494,-12.512
0.059,-0.158,-1.057,-8.728,-18.005,-12.268
0.053,-0.158,-1.032,-9.583,-16.174,-11.719
