aX,aY,aZ,gX,gY,gZ
-1.793,-0.004,1.146,24.231,-74.280,-23.437
-1.910,-0.171,1.269,25.940,-90.088,-40.039
-2.010,-0.363,1.379,16.602,-102.478,-49.011
-2.087,-0.511,1.422,-1.404,-110.168,-53.467
-2.147,-0.555,1.399,-20.935,-110.779,-57.495
-2.166,-0.517,1.333,-33.630,-103.088,-57.800
-2.183,-0.460,1.246,-35.278,-86.365,-50.476
-2.179,-0.406,1.167,-25.940,-62.073,-36.682
-2.151,-0.299,1.076,-7.812,-32.104,-22.339
-2.067,-0.182,0.958,16.174,1.099,-5.249
-1.925,-0.132,0.805,42.603,36.865,15.991
-1.772,-0.110,0.648,67.444,73.792,38.086
-1.599,-0.153,0.525,86.487,109.253,56.030
-1.360,-0.177,0.453,95.154,139.404,67.322
-1.080,-0.152,0.434,92.957,157.532,71.106
-0.840,-0.126,0.455,81.848,160.583,65.247
-0.584,-0.071,0.501,63.538,148.926,59.204
-0.356,-0.070,0.583,41.809,126.221,51.575
-0.221,-0.080,0.652,17.395,97.473,44.922
-0.180,-0.019,0.719,-6.775,68.848,40.771
-0.158,0.085,0.745,-25.574,48.889,37.842
-0.092,0.154,0.755,-34.302,39.001,36.621
-0.060,0.194,0.770,-31.982,37.964,34.363
-0.030,0.175,0.774,-22.034,44.617,29.968
0.001,0.102,0.786,-11.292,54.688,24.658
0.082,0.051,0.804,-2.441,63.049,18.250
0.223,0.055,0.778,5.127,66.162,9.521
0.443,0.017,0.731,14.221,64.941,-1.709
0.653,-0.037,0.720,22.461,58.899,-10.071
0.821,-0.045,0.742,26.917,47.546,-13.855
0.965,-0.043,0.788,27.649,29.297,-15.564
1.015,-0.063,0.842,24.170,5.798,-12.817
0.980,-0.053,0.878,16.479,-18.982,-7.080
0.910,-0.012,0.894,8.179,-42.419,-5.920
0.818,0.023,0.921,2.808,-60.547,-8.789
0.757,0.032,0.965,0.854,-72.693,-13.672
0.745,0.045,1.005,1.099,-79.590,-19.165
0.742,0.023,1.043,2.563,-83.191,-25.146
0.734,0.024,1.061,3.723,-84.106,-29.358
0.657,0.016,1.065,4.883,-82.886,-29.297
0.545,0.001,1.067,7.324,-76.843,-28.015
0.479,-0.010,1.068,10.254,-64.514,-27.649
0.403,-0.054,1.058,13.306,-48.706,-27.161
0.366,-0.085,1.050,16.052,-30.029,-28.259
0.331,-0.113,1.045,17.639,-11.597,-26.733
0.299,-0.161,1.037,17.883,4.822,-24.170
0.290,-0.204,1.042,16.113,18.799,-22.339
0.300,-0.231,1.050,11.963,28.198,-21.729
0.316,-0.220,1.052,5.554,32.837,-22.461
0.304,-0.195,1.056,-1.404,33.020,-22.278
0.290,-0.174,1.075,-6.836,30.334,-21.912
0.267,-0.177,1.086,-11.658,26.184,-20.203
0.235,-0.184,1.098,-16.235,22.339,-16.602
0.219,-0.139,1.099,-20.874,20.691,-10.010
0.195,-0.025,1.097,-23.499,20.020,-2.380
0.167,0.039,1.089,-21.667,19.897,-0.244
0.158,0.036,1.084,-15.564,20.020,-1.770
0.167,0.043,1.085,-7.385,19.409,-2.441
0.163,0.039,1.087,1.465,15.869,-1.465
0.146,0.007,1.092,9.521,10.132,-1.282
0.102,-0.039,1.110,15.808,4.517,-1.648
0.089,-0.073,1.094,18.433,4.517,-1.770
0.112,-0.100,1.073,18.433,6.165,-3.174
0.105,-0.108,1.053,16.785,8.057,-4.333
0.097,-0.117,1.042,14.648,9.033,-4.944
0.093,-0.123,1.036,12.268,9.094,-5.005
0.059,-0.136,1.036,9.338,8.423,-5.249
0.036,-0.186,1.035,5.981,8.972,-5.676
0.036,-0.169,1.028,1.282,9.705,-12.268
0.056,-0.158,1.018,-3.906,10.254,-10.132
0.040,-0.128,1.008,-7.019,10.376,-7.385
0.046,-0.094,1.002,-7.690,10.986,-4.944
0.053,-0.085,1.000,-5.981,10.925,-2.441
0.054,-0.086,0.999,-3.113,10.071,0.488
0.056,-0.101,0.998,-0.916,9.094,4.578
0.047,-0.109,0.996,0.183,7.629,9.277
0.048,-0.095,0.991,0.488,6.836,12.939
0.053,-0.086,0.986,0.977,5.981,14.893
0.037,-0.086,0.990,1.831,5.249,15.991
0.045,-0.087,0.993,2.319,5.432,17.334
0.049,-0.078,0.993,2.014,5.310,17.456
0.040,-0.064,0.991,1.709,4.944,16.296
0.036,-0.074,0.993,2.014,4.944,14.526
0.033,-0.096,0.993,1.709,4.944,12.268
0.030,-0.098,0.991,-0.061,5.310,9.766
0.036,-0.089,0.985,-1.770,5.798,7.629
0.041,-0.066,0.977,-2.930,6.409,5.615
0.050,-0.055,0.972,-2.075,6.958,4.028
0.054,-0.049,0.973,-0.610,7.080,3.174
0.055,-0.047,0.976,1.038,6.592,2.625
0.056,-0.058,0.980,2.686,5.432,2.808
0.056,-0.075,0.984,3.906,4.089,2.991
0.054,-0.084,0.989,3.967,2.441,2.747
0.048,-0.078,0.994,3.418,1.038,2.625
