aX,aY,aZ,gX,gY,gZ
-0.090,2.386,0.342,43.396,0.549,196.716
-0.042,2.622,0.320,22.888,7.812,169.373
0.003,2.729,0.297,10.010,13.245,136.475
0.038,2.782,0.240,-2.869,16.113,100.830
0.078,2.865,0.155,-16.541,15.869,62.073
0.119,2.897,0.071,-25.574,11.169,21.057
0.141,2.836,0.032,-29.236,2.014,-18.433
0.146,2.686,0.044,-32.288,-10.010,-56.213
0.107,2.532,0.077,-39.307,-22.766,-91.064
0.060,2.381,0.121,-50.720,-32.410,-122.070
0.042,2.207,0.161,-65.918,-38.208,-150.208
0.051,2.051,0.195,-83.984,-41.443,-176.758
0.060,1.904,0.216,-99.976,-43.640,-202.209
0.035,1.757,0.234,-111.389,-46.448,-226.624
-0.003,1.608,0.256,-116.760,-49.561,-250.854
-0.039,1.432,0.267,-116.577,-52.490,-275.269
-0.085,1.225,0.284,-111.755,-55.969,-301.086
-0.131,1.023,0.313,-103.516,-60.059,-327.576
-0.177,0.831,0.354,-94.238,-62.927,-351.807
-0.167,0.615,0.390,-84.229,-63.477,-374.756
-0.322,0.410,0.384,-73.914,-61.768,-398.560
-0.409,0.149,0.366,-58.350,-55.176,-418.274
-0.417,-0.221,0.317,-38.269,-43.518,-433.716
-0.393,-0.649,0.262,-26.611,-29.297,-443.359
-0.324,-1.167,0.205,-30.090,-13.245,-441.895
-0.253,-1.469,0.135,-49.133,4.272,-429.626
-0.133,-1.635,0.048,-78.857,18.982,-412.354
-0.005,-1.777,-0.089,-108.704,27.100,-390.381
0.204,-1.936,-0.232,-129.456,28.625,-362.183
0.431,-1.965,-0.326,-140.747,22.034,-322.571
0.533,-1.837,-0.353,-136.047,10.254,-272.461
0.532,-1.731,-0.344,-112.671,0.671,-218.689
0.547,-1.807,-0.297,-81.116,-5.859,-168.701
0.551,-1.825,-0.255,-56.274,-9.338,-123.901
0.552,-1.840,-0.226,-43.762,-9.033,-88.867
0.608,-1.784,-0.208,-40.527,-7.690,-64.880
0.681,-1.633,-0.207,-40.833,-5.981,-47.791
0.751,-1.474,-0.213,-37.903,-5.493,-34.485
0.811,-1.350,-0.215,-29.236,-7.141,-23.132
0.864,-1.266,-0.199,-17.334,-10.376,-11.902
0.900,-1.192,-0.166,-5.066,-13.733,0.183
0.930,-1.111,-0.135,5.493,-16.357,13.306
0.957,-1.021,-0.097,13.000,-18.677,26.367
0.965,-0.931,-0.056,16.968,-21.057,37.415
0.975,-0.811,-0.018,17.883,-22.156,46.814
0.982,-0.695,0.018,16.968,-21.545,54.443
0.981,-0.596,0.051,15.015,-20.020,59.570
0.969,-0.504,0.079,11.169,-17.395,62.317
0.966,-0.413,0.097,7.507,-13.489,62.561
0.975,-0.327,0.107,4.883,-8.667,60.852
0.986,-0.258,0.109,2.747,-3.601,58.289
0.981,-0.211,0.108,1.648,1.282,55.115
0.973,-0.180,0.101,2.319,7.202,51.697
0.965,-0.162,0.083,4.211,13.489,48.096
0.965,-0.160,0.064,6.226,18.799,44.678
0.968,-0.167,0.048,7.935,22.888,41.260
0.971,-0.178,0.026,8.057,26.184,38.330
0.974,-0.179,0.005,6.775,27.893,35.278
0.969,-0.187,-0.014,5.554,28.015,32.471
0.958,-0.184,-0.027,4.822,27.588,29.968
0.949,-0.178,-0.046,5.249,26.917,27.893
0.942,-0.176,-0.067,7.019,25.940,25.879
0.938,-0.192,-0.081,8.911,24.475,23.987
0.925,-0.204,-0.084,9.766,22.888,22.400
0.921,-0.218,-0.086,9.766,21.362,20.386
0.913,-0.235,-0.088,8.850,19.897,18.433
0.911,-0.245,-0.097,7.874,18.860,17.151
0.911,-0.243,-0.108,6.470,17.883,16.785
0.921,-0.237,-0.115,5.859,16.724,16.907
0.931,-0.232,-0.120,5.920,14.954,17.395
0.933,-0.234,-0.118,6.042,12.695,17.761
0.925,-0.239,-0.113,5.493,10.132,17.517
0.924,-0.234,-0.104,4.333,8.362,16.663
0.933,-0.214,-0.104,2.686,7.202,15.625
0.933,-0.201,-0.107,1.648,6.348,14.526
0.937,-0.199,-0.110,2.625,6.104,13.000
0.944,-0.204,-0.118,4.028,5.859,11.658
0.951,-0.211,-0.116,5.432,5.127,10.193
0.924,-0.208,-0.118,6.348,4.028,9.094
0.968,-0.226,-0.117,6.531,2.930,8.728
0.962,-0.221,-0.115,6.226,2.014,7.141
0.943,-0.216,-0.113,5.554,1.282,6.531
0.946,-0.209,-0.112,5.127,1.038,6.348
0.940,-0.201,-0.114,5.005,1.099,5.615
0.934,-0.201,-0.119,5.676,1.343,4.822
0.936,-0.216,-0.122,7.141,1.831,3.540
0.937,-0.240,-0.129,7.996,2.319,2.136
0.938,-0.246,-0.138,7.324,2.686,1.282
0.948,-0.258,-0.145,6.531,2.747,0.366
0.962,-0.273,-0.147,6.042,2.075,-0.061
0.971,-0.272,-0.145,5.310,0.122,-0.061
0.971,-0.267,-0.132,4.150,-2.502,-0.122
0.962,-0.268,-0.121,3.479,-4.395,-0.244
0.953,-0.271,-0.113,3.296,-5.310,-0.305
0.940,-0.272,-0.108,2.747,-5.554,-0.427
0.937,-0.273,-0.103,2.258,-4.883,-0.427
0.937,-0.271,-0.100,2.075,-3.784,-0.183
0.944,-0.274,-0.103,2.991,-2.258,0.244
0.947,-0.281,-0.109,4.028,-0.854,0.671
0.947,-0.279,-0.111,4.272,0.122,1.709
0.949,-0.273,-0.112,4.456,0.854,2.808
0.951,-0.276,-0.109,4.944,1.404,3.662
0.947,-0.276,-0.109,4.517,1.709,4.395
0.950,-0.264,-0.115,3.601,2.014,4.761
0.953,-0.249,-0.117,3.052,2.075,4.883
0.956,-0.244,-0.116,3.113,1.709,4.395
0.959,-0.242,-0.114,3.052,1.526,3.662
0.962,-0.240,-0.111,3.296,1.221,2.502
0.963,-0.234,-0.109,2.808,1.160,1.770
0.959,-0.232,-0.109,2.686,0.977,0.977
0.954,-0.236,-0.107,3.052,0.977,0.427
0.954,-0.244,-0.110,3.784,1.160,-0.183
0.957,-0.248,-0.111,3.967,1.404,-0.549
0.951,-0.258,-0.110,4.211,1.526,-0.793
0.946,-0.271,-0.108,3.723,1.770,-0.793
0.949,-0.270,-0.109,2.625,2.197,-0.610
0.956,-0.267,-0.112,1.648,2.625,0.061
0.958,-0.262,-0.114,1.343,2.502,0.610
0.957,-0.266,-0.116,1.343,2.380,0.977

0.045,1.964,1.013,27.832,-41.626,228.027
0.066,2.167,1.013,2.930,-26.489,208.984
0.101,2.374,0.953,-22.644,-10.193,182.373
0.159,2.567,0.856,-41.504,4.822,149.902
0.220,2.703,0.740,-47.852,18.738,114.380
0.293,2.754,0.632,-41.931,29.297,77.637
0.365,2.720,0.554,-26.978,34.607,41.992
0.415,2.601,0.504,-9.644,35.278,9.033
0.434,2.441,0.480,3.052,31.738,-21.179
0.420,2.260,0.480,7.141,26.489,-49.927
0.392,2.095,0.491,0.427,22.278,-75.867
0.363,1.970,0.503,-15.381,19.775,-98.999
0.349,1.880,0.520,-35.889,19.104,-119.812
0.333,1.808,0.524,-57.861,19.287,-138.184
0.291,1.763,0.522,-78.186,19.226,-156.006
0.227,1.702,0.520,-94.604,18.738,-174.927
0.164,1.647,0.514,-107.605,18.188,-195.984
0.115,1.549,0.504,-116.699,18.127,-219.177
0.095,1.421,0.475,-122.375,18.799,-244.446
0.095,1.286,0.419,-123.413,18.921,-271.240
0.089,1.134,0.378,-117.188,17.212,-297.791
0.068,0.973,0.359,-105.286,13.428,-321.594
0.019,0.820,0.347,-89.844,10.803,-341.614
-0.043,0.697,0.334,-72.083,9.216,-358.948
-0.127,0.548,0.351,-53.284,7.446,-374.573
-0.207,0.339,0.352,-36.926,6.836,-388.611
-0.278,0.124,0.330,-24.780,8.850,-402.222
-0.302,-0.073,0.290,-18.005,13.000,-414.307
-0.310,-0.228,0.236,-13.428,17.578,-424.438
-0.323,-0.411,0.204,-8.118,22.644,-433.044
-0.297,-0.739,0.152,-4.272,30.518,-434.692
-0.161,-0.966,0.067,-12.939,36.987,-421.936
-0.042,-1.006,-0.025,-28.259,38.391,-401.123
-0.022,-1.058,-0.071,-37.109,36.926,-371.216
-0.033,-1.219,-0.096,-34.058,38.635,-338.440
-0.017,-1.446,-0.169,-27.832,44.006,-306.824
0.004,-1.597,-0.256,-27.100,48.828,-275.085
0.022,-1.768,-0.331,-30.151,54.077,-246.033
0.084,-1.832,-0.384,-36.011,59.998,-219.421
0.170,-1.879,-0.427,-43.213,64.209,-194.580
0.258,-1.886,-0.461,-48.950,66.284,-169.739
0.337,-1.867,-0.498,-49.622,65.857,-145.081
0.410,-1.833,-0.516,-44.617,62.317,-120.605
0.474,-1.795,-0.535,-36.072,55.359,-96.924
0.522,-1.752,-0.533,-26.062,45.898,-75.012
0.560,-1.697,-0.509,-16.418,34.973,-54.993
0.600,-1.620,-0.479,-8.789,23.376,-37.170
0.627,-1.526,-0.443,-2.869,11.658,-21.545
0.641,-1.452,-0.399,1.953,1.526,-7.874
0.642,-1.379,-0.349,4.883,-6.470,3.784
0.666,-1.309,-0.306,6.042,-12.024,13.672
0.671,-1.219,-0.268,6.836,-14.893,23.315
0.700,-1.133,-0.233,7.507,-17.212,32.104
0.720,-1.042,-0.197,8.850,-19.043,39.856
0.732,-0.962,-0.158,10.925,-20.081,46.753
0.768,-0.881,-0.117,12.695,-20.691,52.307
0.796,-0.797,-0.074,13.306,-22.705,56.152
0.796,-0.732,-0.029,11.780,-24.780,57.983
0.799,-0.668,0.011,8.484,-25.757,58.044
0.806,-0.597,0.037,4.883,-25.269,57.068
0.815,-0.531,0.043,2.258,-23.560,55.054
0.819,-0.500,0.046,1.953,-21.301,51.697
0.824,-0.486,0.041,3.357,-18.494,48.706
0.834,-0.471,0.029,5.310,-15.564,46.204
0.849,-0.457,0.015,7.812,-13.062,43.945
0.845,-0.465,0.001,11.475,-11.169,41.809
0.843,-0.483,-0.009,15.442,-9.277,40.039
0.847,-0.492,-0.014,18.494,-7.568,38.696
0.843,-0.508,-0.011,20.081,-5.920,38.208
0.846,-0.512,-0.005,19.409,-3.845,37.781
0.857,-0.500,0.000,16.541,-2.075,37.354
0.854,-0.483,0.007,11.963,-1.221,36.987
0.848,-0.465,0.009,7.812,-0.488,36.438
0.842,-0.445,0.004,5.249,0.610,35.583
0.842,-0.433,-0.000,4.578,1.709,34.363
0.844,-0.430,0.000,5.371,2.991,33.569
0.842,-0.439,0.001,6.470,4.395,32.837
0.839,-0.443,0.002,6.958,5.737,32.349
0.836,-0.454,0.004,6.653,6.897,31.616
0.822,-0.455,0.004,5.737,7.629,31.128
0.861,-0.454,0.004,4.028,7.874,31.799
0.866,-0.437,0.003,2.869,7.690,31.494
0.861,-0.413,0.007,2.197,7.019,31.616
0.861,-0.402,0.017,2.075,6.165,31.555
0.859,-0.395,0.026,1.770,5.737,30.762
0.859,-0.391,0.028,0.916,6.287,29.663
0.867,-0.381,0.021,-0.610,7.507,28.320
0.874,-0.372,0.012,-1.526,9.155,26.428
0.877,-0.368,0.002,-1.404,11.292,24.963
0.875,-0.361,-0.004,-0.427,13.611,24.719
0.880,-0.354,-0.015,1.526,16.235,24.658
0.878,-0.358,-0.022,4.761,18.738,24.414
0.883,-0.377,-0.026,7.996,20.691,24.536
0.885,-0.395,-0.032,10.498,22.034,24.597
0.886,-0.408,-0.037,12.207,23.193,24.658
0.866,-0.419,-0.042,12.512,24.597,24.658
0.874,-0.420,-0.043,10.559,25.696,24.658
0.886,-0.428,-0.050,7.324,26.489,23.926
0.899,-0.424,-0.063,2.502,26.184,23.315
0.916,-0.397,-0.077,-2.625,24.963,22.583
0.922,-0.367,-0.094,-6.042,23.071,21.240
0.919,-0.344,-0.105,-6.042,20.874,19.592
0.921,-0.328,-0.113,-3.540,19.348,17.944
0.922,-0.333,-0.121,-0.305,18.066,16.296
0.915,-0.343,-0.124,2.747,16.724,14.587
0.915,-0.356,-0.127,4.578,15.442,12.756
0.912,-0.368,-0.129,5.127,14.038,10.681
0.913,-0.372,-0.128,4.333,13.123,9.277
0.903,-0.371,-0.132,2.869,12.512,7.751
0.905,-0.372,-0.141,1.709,12.024,6.836
0.906,-0.375,-0.152,1.099,11.658,6.409
0.911,-0.383,-0.159,1.099,10.864,5.737
0.917,-0.388,-0.161,1.099,10.193,5.188
0.911,-0.386,-0.163,0.854,9.155,5.066
0.902,-0.383,-0.167,0.244,8.301,4.700
0.897,-0.381,-0.166,0.061,7.751,4.211
0.897,-0.387,-0.167,-0.305,7.141,3.601
0.896,-0.387,-0.171,-0.183,6.409,2.747
0.896,-0.393,-0.174,-0.427,5.371,2.319

0.133,2.116,0.591,29.419,-4.761,237.183
0.171,2.231,0.536,22.278,5.493,216.370
0.213,2.377,0.470,16.968,14.160,191.345
0.257,2.444,0.451,15.991,20.142,160.522
0.318,2.491,0.415,11.658,23.926,127.747
0.368,2.527,0.372,3.479,25.085,93.628
0.421,2.545,0.324,-6.531,23.743,59.265
0.469,2.541,0.278,-15.747,19.775,25.513
0.490,2.503,0.248,-23.560,14.221,-6.348
0.490,2.425,0.229,-30.762,8.362,-38.208
0.470,2.312,0.234,-37.170,2.869,-70.129
0.445,2.172,0.245,-43.457,-1.404,-100.464
0.419,2.033,0.243,-50.415,-4.089,-127.991
0.391,1.889,0.252,-57.007,-6.470,-153.564
0.357,1.737,0.276,-62.134,-8.911,-177.490
0.324,1.574,0.293,-66.101,-9.827,-199.158
0.287,1.424,0.328,-69.031,-9.827,-218.140
0.246,1.290,0.372,-72.693,-8.484,-234.436
0.200,1.107,0.403,-79.712,-5.310,-249.207
0.161,0.925,0.423,-89.661,-0.366,-263.550
0.126,0.739,0.425,-102.417,6.226,-279.663
0.107,0.550,0.407,-118.652,14.526,-296.509
0.121,0.445,0.373,-136.108,23.010,-313.477
0.161,0.414,0.336,-147.644,30.029,-327.087
0.185,0.341,0.323,-150.452,34.668,-334.961
0.187,0.243,0.305,-147.522,37.231,-338.196
0.191,0.145,0.271,-142.883,38.452,-338.318
0.187,0.029,0.231,-137.451,38.635,-336.426
0.177,-0.090,0.197,-128.723,38.147,-333.679
0.187,-0.220,0.149,-115.601,36.560,-331.360
0.205,-0.371,0.104,-98.877,34.912,-327.393
0.209,-0.531,0.053,-81.665,35.645,-319.824
0.283,-0.594,0.022,-65.247,37.048,-308.289
0.265,-0.733,-0.004,-48.706,31.799,-291.138
0.241,-0.917,-0.022,-34.058,30.334,-272.278
0.240,-1.080,-0.059,-24.048,30.945,-253.906
0.251,-1.223,-0.093,-18.677,33.020,-236.206
0.288,-1.360,-0.149,-15.320,37.109,-216.370
0.390,-1.415,-0.207,-15.930,40.955,-195.679
0.436,-1.411,-0.260,-18.677,41.382,-172.363
0.481,-1.414,-0.302,-19.470,40.161,-148.315
0.522,-1.426,-0.334,-18.616,37.720,-124.939
0.559,-1.424,-0.364,-18.066,34.607,-103.333
0.602,-1.372,-0.383,-19.836,30.518,-84.106
0.652,-1.289,-0.396,-21.484,24.963,-67.810
0.688,-1.233,-0.394,-19.592,18.738,-53.955
0.731,-1.185,-0.401,-15.625,13.184,-41.443
0.754,-1.129,-0.402,-10.925,7.385,-29.846
0.776,-1.066,-0.394,-6.409,1.648,-19.165
0.790,-1.003,-0.371,-1.709,-3.479,-9.644
0.812,-0.961,-0.345,1.892,-8.118,-2.075
0.821,-0.915,-0.300,3.235,-12.451,3.967
0.840,-0.860,-0.262,2.747,-14.771,9.827
0.858,-0.797,-0.234,1.953,-15.503,15.503
0.870,-0.734,-0.206,1.526,-15.137,19.958
0.875,-0.677,-0.180,1.343,-14.526,23.193
0.878,-0.638,-0.156,0.183,-13.733,24.719
0.883,-0.592,-0.129,-2.441,-12.878,24.841
0.893,-0.537,-0.115,-4.272,-11.108,23.926
0.910,-0.488,-0.108,-4.517,-8.606,22.522
0.912,-0.461,-0.099,-2.991,-6.165,20.691
0.904,-0.462,-0.095,-0.732,-3.784,19.043
0.895,-0.469,-0.105,1.709,-1.709,17.456
0.889,-0.465,-0.113,3.845,0.122,16.113
0.885,-0.468,-0.119,5.493,1.465,14.954
0.886,-0.469,-0.129,6.470,2.258,14.099
0.880,-0.469,-0.140,7.080,2.258,13.428
0.871,-0.465,-0.147,7.690,2.014,12.512
0.869,-0.469,-0.154,8.118,1.648,11.414
0.865,-0.464,-0.156,7.874,1.343,10.925
0.859,-0.454,-0.159,7.446,0.549,11.108
0.837,-0.440,-0.162,7.202,-0.244,11.414
0.830,-0.455,-0.162,6.287,-0.549,11.108
0.834,-0.439,-0.158,4.333,-0.610,9.827
0.844,-0.414,-0.163,2.930,-0.488,8.484
0.860,-0.406,-0.170,3.174,-0.549,7.935
0.871,-0.398,-0.172,4.883,-1.343,7.874
0.871,-0.398,-0.160,6.165,-2.808,7.812
0.860,-0.402,-0.148,6.592,-3.906,6.897
0.853,-0.399,-0.141,5.493,-4.517,5.554
0.853,-0.397,-0.140,3.845,-4.639,4.028
0.859,-0.392,-0.141,3.052,-4.578,2.991
0.871,-0.391,-0.146,4.333,-4.272,2.625
0.870,-0.403,-0.144,5.981,-4.395,2.747
0.865,-0.419,-0.142,7.019,-4.700,2.808
0.856,-0.431,-0.145,6.348,-4.944,3.052
0.850,-0.433,-0.145,5.127,-5.005,2.747
0.857,-0.435,-0.145,4.089,-5.188,2.197
0.862,-0.433,-0.150,3.967,-5.188,2.380
0.862,-0.433,-0.149,4.150,-5.371,3.113
0.858,-0.437,-0.144,3.784,-5.432,3.418
0.857,-0.428,-0.138,2.319,-5.066,3.174
0.865,-0.413,-0.141,1.099,-4.578,2.441
0.874,-0.410,-0.150,1.587,-4.333,1.343
0.869,-0.418,-0.160,3.296,-4.578,0.183
0.856,-0.442,-0.159,4.395,-4.883,-0.488
0.850,-0.457,-0.149,3.662,-4.822,-0.732
0.853,-0.459,-0.143,2.441,-4.028,-0.366
0.867,-0.455,-0.142,1.831,-2.625,0.488
0.876,-0.456,-0.142,1.038,-1.770,1.160
0.889,-0.453,-0.144,-0.061,-1.343,1.526
0.901,-0.443,-0.150,-1.648,-1.343,1.221
0.908,-0.428,-0.159,-2.197,-1.892,0.549
0.908,-0.422,-0.163,-1.404,-2.502,0.000
0.905,-0.427,-0.156,0.061,-3.235,-0.488
0.901,-0.446,-0.151,1.709,-3.540,-0.916
0.900,-0.457,-0.140,1.770,-3.845,-1.221
0.898,-0.460,-0.132,0.671,-3.784,-1.282
0.896,-0.459,-0.129,-0.610,-3.601,-1.160
0.895,-0.464,-0.129,-1.099,-3.540,-0.793
0.889,-0.461,-0.128,-1.404,-3.662,-0.427
0.884,-0.454,-0.126,-1.709,-3.845,-0.305
0.876,-0.453,-0.119,-1.648,-3.723,-0.427
0.879,-0.452,-0.110,-1.160,-3.235,-0.366
0.882,-0.459,-0.106,-0.854,-2.258,-0.183
0.881,-0.467,-0.106,-0.977,-1.709,0.366
0.880,-0.465,-0.107,-1.648,-1.282,1.099
0.883,-0.456,-0.108,-2.197,-1.038,1.953
0.887,-0.449,-0.110,-2.441,-0.793,2.686

0.274,2.224,0.550,12.085,6.226,186.218
0.368,2.443,0.467,-10.254,21.912,157.410
0.468,2.630,0.364,-24.292,33.325,124.756
0.556,2.748,0.280,-28.259,40.161,89.905
0.631,2.789,0.212,-25.818,42.297,54.321
0.681,2.748,0.161,-19.836,41.016,18.677
0.707,2.657,0.123,-14.099,36.377,-16.663
0.699,2.494,0.108,-10.315,29.297,-52.734
0.665,2.316,0.117,-10.010,21.240,-88.074
0.625,2.164,0.144,-11.902,14.404,-120.728
0.568,1.990,0.191,-14.404,9.644,-148.865
0.513,1.788,0.237,-19.104,7.874,-172.974
0.463,1.599,0.275,-26.855,8.301,-194.031
0.407,1.436,0.305,-37.048,10.132,-212.036
0.355,1.285,0.333,-47.913,12.939,-228.088
0.310,1.164,0.351,-57.312,17.517,-242.920
0.277,1.041,0.353,-65.125,22.888,-255.920
0.250,0.910,0.340,-69.641,28.137,-268.066
0.232,0.811,0.323,-69.519,32.715,-279.175
0.220,0.724,0.299,-64.636,36.804,-288.208
0.190,0.640,0.272,-55.786,40.649,-294.739
0.143,0.537,0.264,-44.556,44.312,-300.110
0.097,0.410,0.251,-33.813,48.889,-305.298
0.051,0.256,0.247,-24.475,55.054,-309.998
0.031,0.115,0.222,-18.921,63.232,-314.331
0.030,0.021,0.185,-15.381,71.838,-318.115
0.009,-0.064,0.128,-10.742,79.407,-319.824
0.036,-0.155,0.059,-1.221,85.632,-318.542
0.038,-0.279,-0.014,14.954,91.125,-318.115
0.045,-0.408,-0.083,31.921,95.947,-316.101
0.062,-0.642,-0.125,45.654,99.976,-308.289
0.106,-0.938,-0.162,49.988,104.431,-294.495
0.122,-1.179,-0.238,38.452,109.009,-275.452
0.141,-1.311,-0.338,13.611,112.488,-251.282
0.182,-1.398,-0.440,-12.756,113.159,-224.792
0.232,-1.416,-0.514,-34.302,112.061,-195.435
0.322,-1.402,-0.608,-49.011,108.643,-166.016
0.399,-1.373,-0.658,-54.932,100.525,-138.672
0.435,-1.396,-0.704,-54.871,90.637,-114.563
0.484,-1.360,-0.742,-53.345,79.834,-93.140
0.542,-1.297,-0.773,-51.270,66.833,-75.623
0.577,-1.237,-0.786,-48.218,51.880,-61.829
0.602,-1.183,-0.770,-43.152,36.011,-50.354
0.632,-1.137,-0.753,-36.865,21.545,-40.466
0.644,-1.098,-0.728,-29.480,8.728,-31.311
0.655,-1.072,-0.694,-21.729,-1.404,-22.400
0.673,-1.033,-0.655,-14.832,-9.888,-13.916
